iter	Passed	Remaining
289	6012	14719
290	6031	14694
291	6050	14669
292	6068	14643
293	6087	14618
294	6107	14594
295	6125	14568
296	6143	14541
297	6160	14512
298	6180	14490
299	6199	14464
300	6217	14439
301	6237	14416
302	6255	14388
303	6274	14364
304	6291	14336
305	6310	14312
306	6330	14289
307	6347	14261
308	6366	14236
309	6385	14213
310	6405	14189
311	6422	14162
312	6441	14139
313	6460	14114
314	6479	14089
315	6497	14064
316	6516	14040
317	6533	14012
318	6552	13988
319	6571	13965
320	6590	13941
321	6609	13917
322	6627	13890
323	6646	13866
324	6666	13845
325	6685	13821
326	6703	13797
327	6723	13774
328	6740	13747
329	6758	13722
330	6777	13698
331	6796	13674
332	6814	13650
333	6836	13631
334	6856	13610
335	6877	13591
336	6902	13580
337	6925	13563
338	6951	13554
339	6975	13540
340	6994	13516
341	7013	13493
342	7032	13469
343	7052	13448
344	7072	13428
345	7092	13406
346	7111	13382
347	7130	13359
348	7149	13336
349	7168	13313
350	7188	13291
351	7208	13270
352	7231	13255
353	7251	13232
354	7270	13210
355	7289	13187
356	7308	13164
357	7327	13140
358	7347	13118
359	7367	13097
360	7386	13075
361	7406	13053
362	7425	13030
363	7444	13007
364	7463	12984
365	7482	12961
366	7501	12938
367	7520	12915
368	7539	12892
369	7558	12869
370	7577	12846
371	7596	12824
372	7616	12802
373	7633	12776
374	7652	12754
375	7672	12732
376	7691	12711
377	7711	12689
378	7731	12668
379	7753	12650
380	7773	12629
381	7792	12606
382	7811	12583
383	7830	12561
384	7849	12538
385	7866	12512
386	7884	12488
387	7903	12465
388	7922	12443
389	7941	12421
390	7961	12399
391	7980	12377
392	7997	12351
393	8016	12329
394	8035	12307
395	8054	12284
396	8073	12262
397	8091	12238
398	8110	12216
399	8128	12192
400	8146	12168
401	8165	12146
402	8184	12124
403	8203	12101
